                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3468,                  3.391,                 1.5186,                 1.1826,                 2.2815,                 1.3039,                0.41014,                0.53731,                0.44506,                 0.2092,                 1.3507,                 1.8661,                 1.7649,                 1.1281,                 1.3878,                 1.4664,             3.9555e-05,             3.9555e-05,             3.9555e-05
                      2,                 1.3451,                 1.9906,                 1.5426,                 1.1817,                 1.5079,                 1.3462,                0.49814,                0.48893,                0.46131,                0.22753,                 1.6121,                 1.7261,                 2.0253,                 1.2712,                 1.3039,                 1.6467,             7.7261e-05,             7.7261e-05,             7.7261e-05
                      3,                 1.2152,                 1.8702,                 1.3731,                 1.1032,                 1.4034,                 1.2171,                0.38495,                0.43284,                0.37554,                0.17108,                 1.4862,                 1.7496,                 1.8957,                 1.2127,                 1.3746,                 1.5482,               0.000113,               0.000113,               0.000113
                      4,                 1.3459,                 2.0634,                 1.4911,                 1.1839,                 1.5077,                 1.2998,                0.33211,                0.50746,                0.38127,                0.15923,                 1.5204,                 1.7823,                 1.8269,                 1.2548,                 1.3755,                 1.5153,             0.00011016,             0.00011016,             0.00011016
                      5,                 1.3627,                 1.8501,                 1.5925,                 1.2674,                 1.4212,                 1.4077,                0.34379,                0.37313,                0.33568,                0.15097,                 1.5426,                 2.0186,                 1.9457,                 1.2674,                 1.5646,                 1.5976,             0.00011016,             0.00011016,             0.00011016
                      6,                 1.2353,                   1.79,                 1.4098,                 1.1544,                 1.4066,                 1.2764,                0.46862,                0.43284,                 0.3747,                0.16144,                 1.5024,                 1.7278,                 1.9262,                   1.24,                  1.301,                   1.57,             0.00010722,             0.00010722,             0.00010722
                      7,                 1.2124,                 1.7663,                 1.4388,                 1.1307,                  1.333,                 1.2866,                0.51838,                0.50746,                0.43238,                 0.1807,                 1.5849,                 1.6432,                 1.9997,                  1.307,                 1.1655,                 1.6161,             0.00010427,             0.00010427,             0.00010427
                      8,                 1.2643,                 1.6882,                   1.49,                 1.1245,                  1.265,                 1.3036,                0.47624,                0.43284,                0.42658,                 0.1837,                 1.5287,                 1.6692,                 2.0444,                 1.3247,                  1.287,                 1.7285,             0.00010133,             0.00010133,             0.00010133
                      9,                 1.1936,                 1.6296,                 1.3792,                 1.0887,                 1.1765,                 1.2395,                0.49998,                0.61194,                0.51067,                0.21132,                 1.5168,                 1.5807,                 1.9775,                 1.3018,                 1.1475,                 1.7456,             9.8383e-05,             9.8383e-05,             9.8383e-05
                     10,                 1.2879,                 1.5135,                 1.4762,                  1.167,                 1.1701,                 1.2872,                0.44649,                0.58999,                0.42383,                0.20815,                 1.3636,                 1.6062,                  1.811,                 1.2093,                 1.2332,                 1.5851,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     11,                 1.2866,                 1.6166,                  1.496,                  1.157,                 1.2202,                 1.3046,                0.42389,                0.56716,                0.45916,                0.19035,                 1.5036,                 1.7106,                 1.9174,                 1.3215,                 1.3101,                 1.6388,             9.2493e-05,             9.2493e-05,             9.2493e-05
                     12,                 1.2835,                 1.4864,                 1.4561,                 1.1792,                 1.1516,                 1.3173,                0.43719,                0.44776,                0.42194,                0.16695,                  1.742,                 1.7297,                 2.1153,                 1.4097,                 1.2655,                 1.6878,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     13,                 1.1788,                 1.4577,                 1.3438,                 1.0833,                 1.0562,                 1.2275,                0.52095,                0.62687,                0.51562,                0.23365,                 1.4559,                 1.7118,                 1.7791,                 1.2605,                 1.3892,                 1.4972,             8.6602e-05,             8.6602e-05,             8.6602e-05
                     14,                 1.1129,                 1.3412,                 1.3063,                 1.0539,                 1.0096,                 1.1868,                0.46523,                0.46269,                0.36435,                0.18037,                 1.5073,                 1.7424,                 1.9919,                 1.2263,                 1.3487,                   1.54,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     15,                 1.0129,                 1.3023,                 1.2433,                0.97441,                0.98139,                 1.1287,                0.64955,                0.35821,                0.42985,                0.22363,                 1.5357,                  1.967,                 2.0612,                 1.2861,                 1.3848,                 1.6685,             8.0712e-05,             8.0712e-05,             8.0712e-05
                     16,                 1.0166,                 1.2575,                  1.233,                0.97049,                0.94755,                 1.1321,                0.38352,                0.46269,                  0.415,                0.19497,                 1.5837,                 1.7736,                 2.1385,                 1.3348,                 1.2596,                 1.6967,             7.7766e-05,             7.7766e-05,             7.7766e-05
